Level,Stance,Claim,Votes,Comments,Depth,Debate_name,Tot_votes,Mean_vote,Parent_claim,Parent_vote,Parent_stance,Pro,Con
1.1.2.1.2.1.3.4,con,while it might be that popular perception is not as important for state actors to the extent that they are non democratic it still influences many other aspects of national relations since a nation is far more than simply its state,"[0, 1, 8, 2, 0]", 7,7,palestine,11,2.1,given that the majority of the arab world including saudi arabia and egypt aren t democracies the beliefs of private citizens are largely irrelevant compared to government priorities in regional security and economic interests,0.0,con,0,0
1.1.2.1.2.1.4,con,a study found that people in jordan lebanon and iraq ascribe little importance to the palestinian issue,"[0, 1, 9, 4, 0]", 3,6,palestine,14,2.2,the citizens of major us allies including saudi arabia and egypt see the occupation of palestinian territories as a highly problematic issue,2.4,pro,0,0
1.1.2.1.2.3,pro,in the arab world the palestinian issue is predominantly responsible for the prevailing attitudes towards america,"[0, 2, 4, 7, 1]", 16,5,palestine,14,2.5,the palestinian conflict colors public perception of the us in the arab world,2.5,pro,0,0
1.1.2.1.3.3,con,the palestinians know their side of the conflict is legitimate unless the us de recognises israel at the same time as recognising palestine it won t gain any particular credit from the palestinians for recognising what is perceived by palestinians as reality,"[0, 2, 0, 0, 0]", 7,5,palestine,2,1.0,recognizing palestine would improve america s standing among the people of palestine,0.0,pro,0,0
1.1.2.1.3.5,con,palestine has barely 4 5 million citizens and an economy the size of burkina faso s it is hardly relevant for the united states as a partner or market,"[1, 0, 1, 0, 1]", ,5,palestine,3,2.0,recognizing palestine would improve america s standing among the people of palestine,0.0,pro,0,0
1.1.2.1.4,pro,a favourable image of the us allows for a better relationship between the us and arab countries to form which could lead to better trade agreements and intelligence sharing,"[0, 3, 4, 7, 0]", 2,4,palestine,14,2.3,recognition of palestine could improve the image of the us in the arab world,0.0,pro,1,1
1.1.2.1.4.1,pro,the us conducts operations in several countries in the middle east which they could do more easily if arab countries had a more positive image of the us willingness to help and cooperate would likely be higher if the attitude towards the us were more positive,"[0, 0, 4, 10, 0]", 8,5,palestine,14,2.7,a favourable image of the us allows for a better relationship between the us and arab countries to form which could lead to better trade agreements and intelligence sharing,2.3,pro,1,0
1.1.2.1.4.1.1,pro,in their operations in iraq the us military relied heavily on assistance from local translators the willingness of translators to cooperate and of the local population to tolerate people who cooperate with the us military was dependent on public perception of the us,"[0, 2, 1, 10, 0]", ,6,palestine,13,2.6,the us conducts operations in several countries in the middle east which they could do more easily if arab countries had a more positive image of the us willingness to help and cooperate would likely be higher if the attitude towards the us were more positive,2.7,pro,0,0
1.1.2.1.4.2,con,if there are pragmatic benefits to be gained through cooperation middle eastern states will cooperate with the us regardless of perception of the us morality as an actor,"[0, 4, 6, 4, 0]", ,5,palestine,14,2.0,a favourable image of the us allows for a better relationship between the us and arab countries to form which could lead to better trade agreements and intelligence sharing,2.3,pro,0,0
1.1.2.1.5,con,any improvement of america s reputation in the region will be limited as the israel palestine question is only one of many issues that determine how america is seen,"[0, 3, 6, 6, 0]", 25,4,palestine,15,2.2,recognition of palestine could improve the image of the us in the arab world,0.0,pro,3,1
1.1.2.1.5.1,pro,the us has a track record of military interventions in the middle east which have negatively shaped perceptions,"[0, 0, 4, 10, 1]", 2,5,palestine,15,2.8,any improvement of america s reputation in the region will be limited as the israel palestine question is only one of many issues that determine how america is seen,2.2,con,3,0
1.1.2.1.5.1.1,pro,the violence and death caused as a result of these military interventions leads to resentment towards the us,"[0, 0, 1, 12, 0]", 7,6,palestine,13,2.9,the us has a track record of military interventions in the middle east which have negatively shaped perceptions,2.8,pro,1,1
1.1.2.1.5.1.1.1,pro,news coverage of massacres or collateral murder such as the baghdad airstrikes in 2007 antagonizes bystanders and supports radical thinking against the us,"[0, 0, 6, 7, 0]", 2,7,palestine,13,2.5,the violence and death caused as a result of these military interventions leads to resentment towards the us,2.9,pro,0,0
1.1.2.1.5.1.1.2,con,american interference in the region is generally not seen by public opinion as one of the most severe obstacles to peace and stability in the region not even in countries directly affected by it like iraq p 11,"[0, 1, 4, 0, 0]", 6,7,palestine,5,1.8,the violence and death caused as a result of these military interventions leads to resentment towards the us,2.9,pro,0,0
1.1.2.1.5.1.2,pro,the presence of us soldiers alienates the local population,"[0, 2, 2, 9, 0]", ,6,palestine,13,2.5,the us has a track record of military interventions in the middle east which have negatively shaped perceptions,2.8,pro,2,0
1.1.2.1.5.1.2.1,pro,the habits of us soldiers radicalize some locals as they drink alcohol and behave outside social norms as was observed in saudi arabia,"[0, 3, 3, 7, 0]", ,7,palestine,13,2.3,the presence of us soldiers alienates the local population,2.5,pro,0,0
1.1.2.1.5.1.2.2,pro,us military bases and soldiers are a magnet for terrorist attacks risking the lives of those nearby in the 1990s the base in saudi arabia was moved because of this,"[0, 1, 4, 8, 0]", ,7,palestine,13,2.5,the presence of us soldiers alienates the local population,2.5,pro,0,0
1.1.2.1.5.1.3,pro,a military presence is interpreted by some as an all out war against islam for individuals that link their identity to islam this can be seen as an attack on themselves,"[0, 0, 3, 10, 0]", ,6,palestine,13,2.8,the us has a track record of military interventions in the middle east which have negatively shaped perceptions,2.8,pro,0,0
1.1.2.1.5.2,pro,negative stereotypes about westerners as selfish violent or greedy help to perpetuate anti americanism,"[0, 0, 11, 1, 0]", ,5,palestine,12,2.1,any improvement of america s reputation in the region will be limited as the israel palestine question is only one of many issues that determine how america is seen,2.2,con,0,0
1.1.2.1.5.3,pro,the us supports corrupt autocracies in the region and thus fuels anti americanism p 9,"[0, 0, 7, 7, 1]", 6,5,palestine,15,2.6,any improvement of america s reputation in the region will be limited as the israel palestine question is only one of many issues that determine how america is seen,2.2,con,1,0
1.1.2.1.5.3.1,pro,in non democratic countries supported by and allied with the us such as iraq the united arab emirates and jordan the lack of representative government is seen as the primary obstacle to peace and stability in the region p 11,"[0, 0, 6, 8, 0]", ,6,palestine,14,2.6,the us supports corrupt autocracies in the region and thus fuels anti americanism p 9,2.6,pro,0,0
1.1.2.1.5.4,con,surveys show that american culture and political values are generally seen as positive whereas american policies in the middle east evoke opposition with the policies towards palestine being among the prime sources p 15,"[1, 0, 5, 8, 1]", 1,5,palestine,15,2.5,any improvement of america s reputation in the region will be limited as the israel palestine question is only one of many issues that determine how america is seen,2.2,con,0,0
1.1.2.1.6,con,any benefit to us arab relations would be negligible at best and at worst it would be seen as a betrayal of one of their key regional allies israel,"[0, 1, 0, 1, 0]", 6,4,palestine,2,2.0,recognition of palestine could improve the image of the us in the arab world,0.0,pro,2,0
1.1.2.1.6.1,pro,israel s enemies around the world including hamas and the pa will not be pacified by recognition or even the creation of a palestinian state only by the destruction of the jewish one,"[0, 1, 0, 1, 0]", 6,5,palestine,2,2.0,any benefit to us arab relations would be negligible at best and at worst it would be seen as a betrayal of one of their key regional allies israel,2.0,con,1,0
1.1.2.1.6.1.1,pro,hamas and other vocal enemies of israel could hardly sell more amicable relations to their domestic audiences and supporters after decades of hateful rhetoric towards israel and threats of destruction,"[0, 1, 0, 0, 1]", ,6,palestine,2,2.5,israel s enemies around the world including hamas and the pa will not be pacified by recognition or even the creation of a palestinian state only by the destruction of the jewish one,2.0,pro,0,0
1.1.2.1.6.2,pro,us allies in the middle east are more concerned about their own socio economic conditions and security than about israel,"[0, 1, 0, 1, 0]", 7,5,palestine,2,2.0,any benefit to us arab relations would be negligible at best and at worst it would be seen as a betrayal of one of their key regional allies israel,2.0,con,0,0
1.1.2.1.6.3.2.2,con,this singular instance from a quarter of a century ago is hardly representative of the united states relationship with israel as a whole,"[0, 0, 1, 4, 0]", ,7,palestine,5,2.8,while one might expect one of america s closest allies to play a supportive role in times of conflict israel has been a strategic burden in the past,2.0,pro,0,0
1.1.2.1.7.3.1,pro,these nations perceive hamas to be an islamist threat that could destabilise their own countries iran s support and funding of hamas has effectively made these nations prioritise the destruction of the group over the recognition of a palestinian state,"[0, 0, 5, 8, 0]", 10,6,palestine,13,2.6,there exists a moderate axis of middle eastern nations including egypt turkey saudi arabia and several of the gulf states as well as jordan that have offered israel a wide margin of flexibility to pursue the war on hamas public calls for peace are accompanied by backdoor diplomacy,0.0,pro,0,0
1.1.2.1.7.3.2,pro,the gulf states fear hamas link with the muslim brotherhood which they believe is backed by iran,"[0, 0, 5, 9, 0]", ,6,palestine,14,2.6,there exists a moderate axis of middle eastern nations including egypt turkey saudi arabia and several of the gulf states as well as jordan that have offered israel a wide margin of flexibility to pursue the war on hamas public calls for peace are accompanied by backdoor diplomacy,0.0,pro,0,0
1.1.2.2,pro,the negative perception of israel s defiance of international law occupation of palestinian territories and military engagements with surrounding countries reflects poorly on the us as the principal enabler of this behavior,"[1, 3, 5, 7, 2]", 34,3,palestine,18,2.3,given that recognizing palestine as a state will benefit the us they have an obligation to act in the best interests of their citizens,0.0,pro,2,3
1.1.2.2.1,pro,surveys from countries like britain show israel s unpopularity among non european countries british people feel more unfavorable only towards north korea even iran is perceived as more favorably than israel pp 10 11,"[0, 2, 6, 6, 0]", ,4,palestine,14,2.3,the negative perception of israel s defiance of international law occupation of palestinian territories and military engagements with surrounding countries reflects poorly on the us as the principal enabler of this behavior,2.3,pro,0,0
1.1.2.2.2,pro,recognizing palestine and thus taking a more moderate stance on the conflict would serve to dissociate the us from israel s actions,"[0, 1, 5, 8, 0]", ,4,palestine,14,2.5,the negative perception of israel s defiance of international law occupation of palestinian territories and military engagements with surrounding countries reflects poorly on the us as the principal enabler of this behavior,2.3,pro,0,0
1.1.2.2.5,con,national interests often override potential public relations damage otherwise the us would not have supported regimes that are far worse and more unpopular than israel,"[0, 3, 5, 6, 0]", 7,4,palestine,14,2.2,the negative perception of israel s defiance of international law occupation of palestinian territories and military engagements with surrounding countries reflects poorly on the us as the principal enabler of this behavior,2.3,pro,0,0
1.1.2.2.6,con,given the long history of the us providing unwavering support for israel one largely symbolic move by a single administration wouldn t substantially affect the international perception of the country,"[0, 1, 7, 3, 0]", ,4,palestine,11,2.2,the negative perception of israel s defiance of international law occupation of palestinian territories and military engagements with surrounding countries reflects poorly on the us as the principal enabler of this behavior,2.3,pro,0,0
1.1.2.2.7,con,negative perceptions of israel do not exist in a vacuum so they should be taken with a grain of salt,"[0, 3, 3, 1, 0]", 4,4,palestine,7,1.7,the negative perception of israel s defiance of international law occupation of palestinian territories and military engagements with surrounding countries reflects poorly on the us as the principal enabler of this behavior,2.3,pro,1,0
1.1.2.2.7.1,pro,some believe that as the international media tends to assign blame for the region s conflict primarily to israel it has become an amplifier for the propaganda of radical palestinian forces,"[0, 3, 3, 1, 0]", ,5,palestine,7,1.7,negative perceptions of israel do not exist in a vacuum so they should be taken with a grain of salt,1.7,con,0,0
1.1.2.2.7.2.1,pro,given their history of allyship and common interests the us will continue to maintain close ties with israel regardless of whether it recognizes palestine therefore recognizing palestine as a state is unlikely to change any reputational damage that the us suffers from its association with israel,"[0, 3, 7, 1, 0]", 17,6,palestine,11,1.8,negative views of israel don t stem solely from their defiance of international law but also from widespread anti semitism due to the link between anti semitism and negative perceptions of israel the u s should not be guided by the latter,0.0,pro,0,0
1.1.2.2.7.2.2,pro,negative attitudes towards israel often function as communicational detours to bypass norms against expressing anti semitic views,"[0, 0, 7, 5, 0]", 17,6,palestine,12,2.4,negative views of israel don t stem solely from their defiance of international law but also from widespread anti semitism due to the link between anti semitism and negative perceptions of israel the u s should not be guided by the latter,0.0,pro,0,0
1.1.2.3,pro,given that unwavering support for israel is primarily the result of strong organized lobbying on us politicians such a decision would show the ability of us decision makers to remain independent,"[1, 0, 0, 0, 1]", ,3,palestine,2,2.0,given that recognizing palestine as a state will benefit the us they have an obligation to act in the best interests of their citizens,0.0,pro,0,0
1.1.2.3.1.2.1,con,this indicates unhappiness towards politicians supporting israel by default not against supporting israel for rational reasons the former is a corruption of democracy while the latter is a politician doing their job,"[0, 4, 6, 4, 0]", ,6,palestine,14,2.0,us congressmembers are given campaign contributions based on their stance towards israel however the vast majority of americans are unhappy with the extent to which congress defaults to supporting israel because of money,0.0,con,0,0
1.1.2.4,con,if the united states were to distance itself from israel this could be interpreted as abandoning a close ally in turn it could have severe repercussions for other close allies causing the interlinked system of alliances to suffer,"[4, 1, 10, 4, 4]", 9,3,palestine,23,2.1,given that recognizing palestine as a state will benefit the us they have an obligation to act in the best interests of their citizens,0.0,pro,2,1
1.1.2.4.1,pro,president obama doubled down on an unshakeable commitment to israel s security recognizing palestine could be interpreted as a weakening of this commitment to american allies,"[1, 1, 12, 1, 0]", ,4,palestine,15,1.9,if the united states were to distance itself from israel this could be interpreted as abandoning a close ally in turn it could have severe repercussions for other close allies causing the interlinked system of alliances to suffer,2.1,con,0,1
1.1.2.4.1.1,con,the us can recognise palestine without compromising its commitment to israel s security defence pledges and aid deals will still remain,"[0, 0, 6, 8, 1]", ,5,palestine,15,2.7,president obama doubled down on an unshakeable commitment to israel s security recognizing palestine could be interpreted as a weakening of this commitment to american allies,1.9,pro,0,0
1.1.2.4.2,pro,trump s actions to undermine nato cast doubt on us loyalty and commitment to longstanding alliances betraying israel by recognising palestine would reinforce and deepen this distrust,"[0, 0, 7, 7, 0]", ,4,palestine,14,2.5,if the united states were to distance itself from israel this could be interpreted as abandoning a close ally in turn it could have severe repercussions for other close allies causing the interlinked system of alliances to suffer,2.1,con,0,0
1.1.2.4.3,con,although the us and israel share several close allies it is possible for the us to denounce israel for its actions while also reaffirming its relationships with other common allies,"[0, 3, 8, 3, 0]", 5,4,palestine,14,2.0,if the united states were to distance itself from israel this could be interpreted as abandoning a close ally in turn it could have severe repercussions for other close allies causing the interlinked system of alliances to suffer,2.1,con,0,1
1.1.2.4.3.1,con,the us has consistently reaffirmed its support for israel a move like this would indicate that public us affirmations of support are worth little and do not necessarily indicate underlying us policy,"[0, 0, 0, 6, 0]", ,5,palestine,6,3.0,although the us and israel share several close allies it is possible for the us to denounce israel for its actions while also reaffirming its relationships with other common allies,2.0,con,0,0
1.1.2.5.2,pro,naftali bennett the current pm of israel has argued that this a resurgence in violence is exactly what would happen should israel withdraw he cited historical precedent as proof,"[1, 7, 5, 1, 0]", 7,4,palestine,14,1.4,israel s withdrawal from occupied areas following us recognition of palestine will create a political and military vacuum that could open the doors for militant groups to take control of the state,4.0,con,0,1
1.1.2.5.2.2,con,the violence cited by bennett could have been caused by the respective israeli occupations causing a surge in support for radical parties not subsequent withdrawal,"[0, 0, 3, 10, 1]", 6,5,palestine,14,2.9,naftali bennett the current pm of israel has argued that this a resurgence in violence is exactly what would happen should israel withdraw he cited historical precedent as proof,1.4,pro,0,0
1.1.2.5.3.1,pro,hamas and fatah have fundamentally different approaches to the state of israel hamas believes the state does not have the right to exist and fatah believes it does choosing to attempt political solutions instead,"[0, 1, 9, 4, 0]", ,5,palestine,14,2.2,hamas and fatah the two dominant groups in control of gaza and the west bank respectively will never be able to work with each other this could increase conflict in the region,0.0,pro,0,0
1.1.2.5.3.2.1.1,pro,hamas fears that palestinians will eventually tire of a military approach to the conflict a war with israel leads to countless deaths of innocent palestinians this fuels palestinian hatred for israel and paints hamas as soldiers fighting for the palestinians,"[0, 0, 8, 6, 0]", ,7,palestine,14,2.4,keeping hostilities going and even going to war periodically with israel ensures the survival of hamas in order to go to war hamas needs to be in control of territory within palestine for which purpose it will hold on to gaza,0.0,pro,0,0
1.1.2.5.3.2.1.2,con,if palestinians were to have a stable state of their own going to war would become far less attractive this suggests that hamas would very likely either have to moderate itself or cease to have popular support,"[0, 0, 6, 8, 0]", ,7,palestine,14,2.6,keeping hostilities going and even going to war periodically with israel ensures the survival of hamas in order to go to war hamas needs to be in control of territory within palestine for which purpose it will hold on to gaza,0.0,pro,0,0
1.1.2.5.3.2.4,con,many radical groups have accepted power sharing agreements and joined the political systems of recognized governments,"[0, 3, 6, 2, 1]", 9,6,palestine,12,2.1,hamas is often considered an extremist group and would would never accept a power sharing agreement,0.0,pro,3,1
1.1.2.5.3.2.4.2,pro,the post apartheid government of south africa is led by the anc african national congress an organization the us had formerly labeled as a terrorist group,"[0, 3, 3, 7, 1]", ,7,palestine,14,2.4,many radical groups have accepted power sharing agreements and joined the political systems of recognized governments,2.1,con,0,0
1.1.2.5.3.2.4.3,pro,northern ireland managed to form a government in 2007 between the democratic unionist party and sinn fein both of which have historic paramilitary links this suggests that former terrorist organizations can be integrated into government more easily after peace has been established,"[1, 1, 4, 1, 0]", 3,7,palestine,7,1.7,many radical groups have accepted power sharing agreements and joined the political systems of recognized governments,2.1,con,0,1
1.1.2.5.3.2.4.3.1,con,sinn féin and the dup were deadlocked in negotiations over the formation of a power sharing government for approximately three years this suggests that the ability of factions to find common ground does not necessarily last,"[1, 2, 6, 4, 0]", ,8,palestine,13,2.0,northern ireland managed to form a government in 2007 between the democratic unionist party and sinn fein both of which have historic paramilitary links this suggests that former terrorist organizations can be integrated into government more easily after peace has been established,1.7,pro,0,0
1.1.2.5.3.2.4.4.1,con,because of its sectarian divisions lebanon is a country that is notorious for its political instability if anything it is an example of the problems that states with long standing ethnic and religious divisions suffer,"[0, 2, 8, 3, 1]", ,8,palestine,14,2.2,a similar solution was implemented in lebanon where the conflicting parties entered an inter religious power sharing agreement this has allowed the various religious and ethnic groups within lebanon to live peacefully together,0.0,pro,0,0
1.1.2.5.3.2.4.5,pro,the kosovo liberation army kla was described as a terrorist group by us officials before eventually forming part of the government and armed forces of the partially recognized country,"[0, 2, 3, 8, 1]", ,7,palestine,14,2.6,many radical groups have accepted power sharing agreements and joined the political systems of recognized governments,2.1,con,0,0
1.1.2.5.3.2.4.7,con,these groups were largely not opposed to us foreign policy when they were legitimized by the us hamas on the other hand has threatened attacks against the us,"[0, 2, 10, 1, 0]", ,7,palestine,13,1.9,many radical groups have accepted power sharing agreements and joined the political systems of recognized governments,2.1,con,0,1
1.1.2.5.3.2.4.7.1,con,hamas has not yet targeted us citizens proving that their threats are little more than rhetoric p 194,"[0, 3, 4, 6, 0]", 7,8,palestine,13,2.2,these groups were largely not opposed to us foreign policy when they were legitimized by the us hamas on the other hand has threatened attacks against the us,1.9,con,0,0
1.1.2.5.3.2.5.3,con,hamas or at the very least their military wing is responsible for suicide bombings as well as rocket and mortar attacks and kidnappings against the state of israel this is more than political,"[0, 0, 0, 0, 2]", 1,7,palestine,2,4.0,the designation of terrorist organization is an arbitrary distinction that does not necessarily reflect the manner of violence the scale of violence or the threat to the united states the designation is based only on political concerns,0.0,con,0,0
1.1.2.5.3.3,con,both hamas and fatah realise that they need to work together and have agreed to form a new national council in order to hold elections,"[0, 1, 5, 8, 0]", ,5,palestine,14,2.5,hamas and fatah the two dominant groups in control of gaza and the west bank respectively will never be able to work with each other this could increase conflict in the region,0.0,pro,0,0
1.1.2.5.3.4.1,con,in the past hamas has violently clashed with fatah to establish control over key areas clearly the group has little intention to share power,"[0, 4, 9, 1, 0]", 3,6,palestine,14,1.8,hamas is taking measures to become a more moderate and open political group this indicates that hamas could work together with fatah and the palestinian authority,0.0,con,0,0
1.1.2.5.4,con,the current conditions of the palestinian territories are what provides radical groups a foothold by providing palestinians with the right to live in their own state they will have little need to turn to radical islamists,"[0, 1, 2, 9, 0]", ,4,palestine,12,2.7,israel s withdrawal from occupied areas following us recognition of palestine will create a political and military vacuum that could open the doors for militant groups to take control of the state,4.0,con,0,0
1.1.2.5.5.2,con,economic growth alone is by no means a predictor of whether a state can descend into domestic turmoil all major states of the arab spring tunisia egypt libya yemen syria and bahrain experienced steady and moderate economic growth of around 4 prior to the events of 2011,"[0, 1, 0, 14, 0]", ,5,palestine,15,2.9,the palestinian economy has seen a trajectory of strong growth in the past despite massive challenges this demonstrates an economic dynamism that would make it unlikely to collapse into a failed state,0.0,con,0,0
