;Level;Stance;Claim;Votes;Comments;Depth
43;1.1.2.1.1;pro;Gun control would help fight organised crime.;['0', '0', '2', '1', '0']; 2;4
44;1.1.2.1.1.1;pro;Half of all violent crime in the US is related to gang activity and the investigation and prosecution of gangs is made more difficult by the lack of strong universal gun laws.;['0', '0', '3', '0', '0']; 5;5
45;1.1.2.1.1.1.1;pro;Individuals and gangs abuse weak US gun laws to acquire guns when they cannot get guns in places with strong gun laws. Adopting stricter universal gun control regulations would address this.;['0', '0', '1', '1', '0']; 1;6
46;1.1.2.1.1.1.1.1;pro;Many US gun traders abuse weak gun laws in neighbouring states in order to traffic in firearms across state lines.;['0', '0', '2', '1', '0']; 2;7
47;1.1.2.1.1.1.1.1.1;pro;Smugglers in Illinois are able to easily drive to neighbouring Indiana, make large firearm purchases and return.;['0', '0', '2', '1', '0']; 3;8
48;1.1.2.1.1.1.1.1.2;pro;Chicago's strict gun laws are undermined by the comparatively lax laws of Indiana and Wisconsin.;['0', '0', '0', '1', '0']; 4;8
49;1.1.2.1.1.1.1.1.2.1;pro;More than 20% of all guns in Chicago are purchased legally in Indiana, which has much more relaxed gun laws.;['0', '0', '2', '1', '0']; 3;9
50;1.1.2.1.1.1.1.1.3;con;Katie Couric's documentary Under the Gun attempted to establish that federal and state gun laws can easily be circumvented, but was criticized for editing footage to disparage gun advocates.;['0', '0', '1', '0', '0']; ;8
51;1.1.2.1.1.1.1.1.3.1;pro;Katie Couric has been accused of committing at least four federal felonies for buying and trafficking firearms while making the documentary.;['0', '1', '0', '0', '0']; ;9
52;1.1.2.1.1.1.1.1.3.1.1;pro;Gun advocacy groups called for the Bureau of Alcohol, Tobacco, Forearms and Explosives (ATF) to investigate Katie Couric.;['0', '1', '2', '0', '0']; ;10
53;1.1.2.1.1.1.1.1.3.1.1.1;con;The ATF declined to conduct a formal investigation of Katie Couric because they claimed it was unclear whether a violation of the law had occurred.;['0', '0', '2', '1', '0']; 1;11
54;1.1.2.1.1.1.1.1.3.1.2;con;The point of the documentary was to demonstrate that it was relatively easy to commit federal felonies, which implies that current gun laws are not adequately enforced.;['0', '0', '2', '1', '0']; ;10
55;1.1.2.1.1.1.1.1.3.2;pro;The creators of Under the Gun issued a formal apology in response to allegations of editing audio to make the interviewee look ill-prepared.;['0', '0', '1', '0', '0']; ;9
56;1.1.2.1.1.1.1.1.3.3;con;The criticisms of Katie Couric's documentary only undermine her credibility as a producer, and do not address the evidence being presented.;['0', '0', '1', '0', '0']; ;9
57;1.1.2.1.1.1.1.2;pro;In a 2015 report, the Mexican government estimated that of the 15 million firearms in circulation, 13 million were illegally obtained from the US.;['0', '0', '3', '0', '0']; 6;7
58;1.1.2.1.1.1.1.2.1;pro;Nearly all gun violence in Mexico is committed with illegal firearms originating from the US.;['0', '0', '2', '1', '0']; ;8
59;1.1.2.1.1.1.1.3;con;The majority of gun owners obtain their guns legally, while most criminals obtain their guns illegally.;['0', '1', '2', '0', '0']; ;7
60;1.1.2.1.1.1.1.3.1;pro;It is possible to acquire firearms illegally in the US.;['0', '0', '0', '0', '0']; 6;8
61;1.1.2.1.1.1.1.3.1.1;pro;Guns are easy to make at home.;['0', '0', '0', '0', '0']; ;9
62;1.1.2.1.1.1.1.3.1.1.1;pro;Guns created using a 3D printer are especially difficult to regulate.;['0', '0', '3', '0', '0']; 10;10
63;1.1.2.1.1.1.1.3.1.1.1.1;pro;While the Undetectable Firearms Act prohibits the ownership of any firearms that cannot be detected by a metal detector, this restriction does not pertain to all 3D-printed guns.;['0', '0', '2', '1', '0']; ;11
64;1.1.2.1.1.1.1.3.1.1.1.2;con;The plastics used in 3D printing are too brittle to make a functional gun, and metal-based 3D printers are too expensive to work as a meaningful alternative.;['0', '1', '1', '1', '0']; 9;11
65;1.1.2.1.1.1.1.3.1.1.1.2.1;con;While 3D printing cannot reliably be used to make the barrel of a pistol or rifle, it can be used to create the receiver.;['0', '0', '3', '0', '0']; ;12
66;1.1.2.1.1.1.1.3.1.1.1.2.1.1;pro;It is especially desirable to create the receiver because it is highly regulated.;['0', '0', '3', '0', '0']; ;13
67;1.1.2.1.1.1.1.3.1.1.1.2.1.2;con;People can already buy 80% receivers without serial numbers.;['0', '0', '3', '0', '0']; 4;13
68;1.1.2.1.1.1.1.3.1.1.2;pro;Improvised firearms like zip guns can be made using household materials and are untraceable.;['0', '0', '2', '1', '0']; 2;10
69;1.1.2.1.1.1.1.3.1.1.3;con;Many homemade guns are relatively low quality, and thus likely are not worth the time and effort to make.;['0', '0', '3', '0', '0']; ;10
70;1.1.2.1.1.1.1.3.1.2;pro;It is almost impossible to search every shipping container for weapons smuggled into the US for gangs and other criminals.;['0', '0', '0', '0', '0']; 8;9
71;1.1.2.1.1.1.1.3.1.2.1;con;Searching for imported weapons would likely have little effect on reducing gun violence as 78% of weapons traced to crimes were manufactured in the US (p. 4).;['0', '0', '2', '1', '0']; 7;10
72;1.1.2.1.1.1.1.3.1.3;pro;The National Rifle Association (NRA) argues that firearms associated with criminal activity are linked to the black market, and thus should not be used as justification for gun regulations.;['0', '1', '1', '0', '0']; ;9
73;1.1.2.1.1.1.1.3.1.3.1;pro;According to the US Department of Justice (DOJ), the majority of firearms used to commit crimes were stolen, purchased on the black market, from a drug dealer, on the street, or from family or friends.;['0', '0', '2', '0', '0']; ;10
74;1.1.2.1.1.1.1.3.1.3.1.1;pro;In 2016, the DOJ report indicated that over half (56%) of firearms used to commit crimes were either stolen, acquired at the scene of the crime, or obtained off the street or from the black market (p. 1).;['0', '0', '3', '0', '0']; ;11
75;1.1.2.1.1.1.1.3.1.3.1.1.1;con;The majority of guns used to commit crimes were obtained off the street or the black market (43%) or from friends and family (25%). While this evidence supports the existence of unregulated gun sales, it does not link them to states with strict gun control legislation.;['0', '0', '3', '0', '0']; ;12
76;1.1.2.1.1.1.1.3.1.3.1.2;con;In 2016, the DOJ reported that only 1.3% of prisoners that used a gun to commit a crime purchased the weapon used in the crime from a licensed dealer, which indicates that gun control legislation does reduce the number of guns legally sold to criminals.;['0', '0', '2', '1', '0']; ;11
77;1.1.2.1.1.1.1.3.1.3.2;con;While US gun laws regulate the sale of firearms from licensed vendors, sales and exchanges between friends or private citizens are unregulated in Florida. Unregulated gun sales connect legal firearms with the black market in Jamaica.;['0', '0', '1', '1', '0']; ;10
78;1.1.2.1.1.1.1.3.1.3.2.1;pro;In 2009, 80% of all illegal guns seized in the Caribbean were traced back to the US.;['0', '0', '0', '0', '0']; ;11
79;1.1.2.1.1.1.1.3.1.3.2.2;pro;Tawanna Banton, a Florida resident, was convicted of buying a handgun that was later used in the gang-related shooting of four police officers in Jamaica.;['0', '0', '3', '0', '0']; ;11
80;1.1.2.1.1.1.1.3.1.3.3;con;Many guns purchased on the black market in Europe come from the US, where sellers exploit weak gun control legislation and ship them oversees.;['0', '0', '0', '1', '0']; ;10
81;1.1.2.1.1.1.1.3.1.3.4;con;Despite evidence that criminals typically cannot acquire firearms within states with strict regulations, the NRA uses the idea of the black market to campaign against gun control legislation.;['0', '0', '3', '0', '0']; ;10
82;1.1.2.1.1.1.1.3.1.4;con;Guns purchased illegally are much more expensive, which incentivizes purchasing firearms legally (pp. 83-84).;['0', '0', '1', '1', '0']; 3;9
83;1.1.2.1.1.1.1.3.1.4.1;pro;In Australia the price of illegal semi-automatic handguns rose significantly after they were outlawed.;['0', '0', '3', '0', '0']; ;10
84;1.1.2.1.1.1.1.3.1.4.2;con;Guns purchased illegally are not particularly expensive.;['0', '1', '2', '0', '0']; 4;10
85;1.1.2.1.1.1.1.3.2;pro;Strict gun control legislation will drive gun sales underground, which involves illegally modifying guns and selling them on the black market.;['0', '1', '2', '0', '0']; 20;8
86;1.1.2.1.1.1.1.3.2.1;pro;Many areas with strict gun control laws have a black market for guns.;['0', '0', '3', '0', '0']; ;9
87;1.1.2.1.1.1.1.3.2.1.1;con;The presence of guns in areas with strict gun control legislation can usually be traced back to gun sales in areas with lenient gun regulations.;['0', '0', '2', '0', '1']; ;10
88;1.1.2.1.1.1.1.3.2.1.1.1;pro;Illegal gun dealing relies on access to guns in the first place, or on inconsistencies in regional laws.;['0', '0', '1', '0', '1']; 2;11
89;1.1.2.1.1.1.1.3.2.1.1.1.1;pro;Federal regulations are likely to be easier to enforce than state or city regulations because state and city regulations can be avoided by leaving the area.;['0', '0', '1', '0', '1']; 2;12
90;1.1.2.1.1.1.1.3.2.1.1.2;pro;In the UK, police and border officials struggle to stop illegal guns from being smuggled across the border.;['0', '0', '2', '0', '0']; ;11
91;1.1.2.1.1.1.1.3.2.2;pro;It is relatively easy to prepare a gun to be sold illegally. A gun can be made untraceable by using a power tool to effectively grind away the serial number.;['1', '1', '1', '3', '0']; 9;9
92;1.1.2.1.1.1.1.3.2.2.1;con;Scientists have developed a reagent that can restore previously obliterated serial numbers from metal surfaces. This may be useful to law enforcement in tracing defaced firearms.;['0', '0', '3', '0', '0']; 1;10
93;1.1.2.1.1.1.1.3.2.2.2;con;Gun registration could be modeled after automotive regulations, which require annual check-ins in order for them to remain legally eligible for use. This enables products to be traced back to their owners and penalizes anyone trying to illegally modify them.;['0', '0', '2', '0', '0']; 8;10
94;1.1.2.1.1.1.1.3.2.2.2.1;pro;Even when gun registration is not universal, evidence suggests that gun registration laws are correlated with reduced gun-related crimes.;['0', '0', '0', '1', '0']; 2;11
95;1.1.2.1.1.1.1.3.2.2.2.2;con;Canada abandoned their attempt to register an estimated 15 million 'long guns' after they failed to register even 25%.;['0', '0', '3', '0', '0']; 5;11
96;1.1.2.1.1.1.1.3.2.3;con;Selling a gun on the black market requires significant interaction with serious criminal elements.;['0', '1', '2', '1', '0']; ;9
97;1.1.2.1.1.1.1.3.2.3.1;pro;Illicit gun sales that take place in person come with additional risks like violent robbery or assault.;['0', '0', '3', '0', '0']; ;10
98;1.1.2.1.1.1.1.3.2.3.2;pro;Guns sold on the black market are likely to give higher profits to criminals, gangs, cartels, and the mafia which traffic these products.;['0', '1', '1', '0', '0']; ;10
99;1.1.2.1.1.1.1.3.2.3.3;con;Prohibition of alcohol caused an increase in crime and corruption, as organized crime filled the needs of the market (p. 1).;['0', '0', '2', '0', '0']; 15;10
100;1.1.2.1.1.1.1.3.2.3.3.1;con;Unlike the complete ban of alcohol during prohibition, many guns would remain legal to buy and sell under strict gun control legislation, thus diminishing the possibility of organized crime taking any portion of that market.;['0', '1', '2', '1', '0']; ;11
101;1.1.2.1.1.1.1.3.3;con;Despite both federal and statewide gun control legislation, more than 80% of firearms used in mass shootings in the US over the last 40 years were acquired legally.;['0', '0', '3', '0', '0']; 8;8
102;1.1.2.1.1.1.1.3.3.1;pro;Both the Las Vegas shooter and the Parkland shooter obtained their weapons legally.;['0', '0', '3', '0', '0']; ;9
103;1.1.2.1.1.1.1.3.3.2;pro;Data collected from 2009 to 2018 establishes a trend that one third of mass shootings in the US are committed by guns that have been legally purchased by someone who cannot legally possess a firearm. Strict universal gun control legislation would help resolve this problem.;['0', '0', '3', '0', '0']; 2;9
104;1.1.2.1.1.1.1.3.3.3;con;The majority of guns used to commit crimes can be traced back to states with weak gun regulations, which means that they are legal but would likely be impacted by new universal gun control measures.;['0', '0', '2', '0', '1']; ;9
105;1.1.2.1.1.1.1.3.3.3.1;pro;Data collected from the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) indicates that the majority of firearms recovered by law enforcement can be traced back to legal but unregulated gun sales.;['0', '0', '3', '0', '0']; ;10
106;1.1.2.1.1.1.1.3.3.3.1.1;pro;In 2016, the ATF found that of the 289,223 firearms recovered by law enforcement in the US, 211,384 (74%) were traced to a legal retail purchaser.;['0', '0', '3', '0', '0']; ;11
107;1.1.2.1.1.1.1.3.3.3.1.1.1;con;In 2016, only 1.3% of inmates accused of either participating in an act of violence with a gun or actively shooting it had gotten it from a retail seller, while less than 8% had used their own names (p. 8-9).;['0', '1', '2', '0', '0']; 1;12
108;1.1.2.1.1.1.1.3.3.3.1.1.1.1;con;While only 10% of inmates report buying guns from retail sellers themselves, the remaining 90% obtain their weapons through unregulated and questionably legal straw sales or sharing arrangements.;['0', '0', '2', '1', '0']; ;13
109;1.1.2.1.1.1.1.3.3.3.1.1.1.2;con;It is possible that survey data provided by inmates is unreliable because it only accounts for the last gun sale before a crime is committed, and leaves out the chain of straw purchases that preceded it.;['0', '0', '1', '1', '0']; ;13
110;1.1.2.1.1.1.1.3.3.3.3;con;Unregulated straw purchases only contributed to 5 of the 167 mass shootings in the US between 1966 and 2019.;['0', '0', '0', '0', '0']; ;10
111;1.1.2.1.1.1.1.3.3.4;con;Gun control legislation specifically changes what is considered a legal firearm purchase, thus directly impacting the percentage of firearms available to commit mass shootings.;['0', '0', '2', '1', '0']; ;9
112;1.1.2.1.1.1.1.3.3.4.1;pro;Red flag laws would make it illegal for someone who has made violent threats or is suicidal to purchase a firearm.;['0', '0', '2', '1', '0']; ;10
113;1.1.2.1.1.1.1.3.3.4.1.1;pro;From 1966 to 2019, red flag laws could have impacted 141 out of the 167 mass shootings in the US.;['0', '0', '2', '1', '0']; ;11
114;1.1.2.1.1.1.1.3.3.4.1.2;pro;A 2019 poll indicated that 70 to 77% of Americans across political lines support red flag laws.;['0', '0', '2', '1', '0']; ;11
115;1.1.2.1.1.1.1.3.3.4.1.2.1;con;In May 2020, Oklahoma passed an anti-red flag law, which suggests that popular opinion may be changing in some areas.;['0', '1', '2', '0', '0']; ;12
116;1.1.2.1.1.1.1.3.3.4.2;pro;A strict assault weapons ban would make it illegal to sell certain high-powered weapons.;['0', '0', '3', '0', '0']; ;10
117;1.1.2.1.1.1.1.3.3.4.2.1;pro;According to The Violence Project database, a comprehensive assault weapons ban would have impacted 38 of the 167 mass shootings between 1966 and 2019.;['0', '0', '3', '0', '0']; ;11
118;1.1.2.1.1.1.1.3.3.4.2.2;con;"The term ""assault weapon"" is arbitrary and no longer designates a type of weapon.";['0', '1', '2', '0', '0']; ;11
119;1.1.2.1.1.1.1.3.3.4.2.2.1;pro;"The NRA argues that the term ""assault weapon"" is used to rhetorically blur the lines between legal semi-automatic weapons, like the AR-15, and automatic weapons.";['0', '0', '0', '0', '0']; ;12
120;1.1.2.1.1.1.1.3.3.4.2.2.1.1;con;Even if AR-15's are not automatic, they are commonly used to commit deadly mass shootings and thus worthy of strict regulation.;['0', '0', '0', '0', '0']; ;13
121;1.1.2.1.1.1.1.3.3.4.2.2.1.1.1;pro;The Route 91 Harvest music festival mass shooting in Las Vegas in 2017 involved more than 14 AR-15 rifles and resulted in the killing of 58 people.;['0', '0', '2', '1', '0']; ;14
122;1.1.2.1.1.1.1.3.3.4.2.2.1.1.2;pro;An AR-15 was used in the Sandy Hook Elementary School shooting to kill 26 people in 2012.;['0', '0', '3', '0', '0']; ;14
123;1.1.2.1.1.1.1.3.3.4.2.2.1.1.3;con;A variety of guns and weapons have been used to commit mass shootings, so there's no reason to target the AR-15.;['0', '1', '2', '0', '0']; ;14
124;1.1.2.1.1.1.1.3.3.4.2.2.1.1.3.1;pro;The NRA argues that the focus on the AR-15 is a political response to the failure of previous attempts to ban handguns.;['0', '1', '2', '0', '0']; ;15
125;1.1.2.1.1.1.1.3.3.4.2.2.1.1.3.2;con;The AR-15 is the civilian equivalent of the military-grade M-16, thus it is more dangerous than other semi-automatic weapons.;['0', '0', '2', '1', '0']; ;15
126;1.1.2.1.1.1.1.3.3.4.2.2.1.1.3.2.1;pro;The AR-15 is considered to be especially easy to modify to increase its ammunition capacity, range, accuracy, and firing rate.;['0', '0', '2', '1', '0']; ;16
127;1.1.2.1.1.1.1.3.3.4.2.2.1.1.3.2.2;pro;The AR-15's bullets contain more gunpowder and thus have a greater velocity than bullets fired by other legal weapons.;['0', '0', '3', '0', '0']; ;16
128;1.1.2.1.1.1.1.3.3.4.2.2.2;con;"The term ""assault weapon"" has been used in gun control legislation before and could be adopted or modified by new legislation.";['0', '0', '2', '0', '1']; ;12
129;1.1.2.1.1.1.1.3.3.4.2.2.2.1;pro;"The Federal Assault Weapons Ban (AWB) of 1994 established strict parameters for classifying many semi-automatic weapons as ""assault weapons.""";['0', '0', '2', '1', '0']; ;13
130;1.1.2.1.1.2;pro;Guns are regularly purchased in the US and then illegally shipped to gangs in both Latin America and the Caribbean.;['0', '0', '2', '1', '0']; 5;5
131;1.1.2.1.1.2.1;pro;49% of crime guns used in crimes in El Salvador were originally purchased in the U.S.;['0', '0', '1', '2', '0']; ;6
132;1.1.2.1.1.2.2;pro;American guns are easily sold to Mexican drug cartels.;['0', '0', '3', '0', '0']; 1;6
133;1.1.2.1.1.2.2.1;pro;70% of guns recovered from criminal investigations in Mexico were purchased legally in the US, often through straw purchasers and without background checks.;['0', '0', '2', '1', '0']; 2;7
134;1.1.2.1.1.2.2.1.2;pro;Access to American weapons directly impacts the gun-related murder rate in Mexico.;['0', '0', '2', '1', '0']; ;8
135;1.1.2.1.1.2.2.1.2.1;pro;It is estimated that 213,000 guns are smuggled into Mexico from the US every year.;['0', '0', '2', '1', '0']; ;9
136;1.1.2.1.1.2.2.1.3;con;Legislation could be passed which targets straw purchases without having to adopt strict universal gun regulations.;['0', '1', '1', '0', '0']; ;8
137;1.1.2.1.1.2.2.2;con;Facing well-armed drug cartels and strict gun regulations in Mexico, Mexican citizens rely upon American guns to defend their communities.;['0', '0', '3', '0', '0']; ;7
138;1.1.2.1.1.2.3;pro;29% of guns used in crimes in Guatemala have US origins.;['0', '0', '2', '1', '0']; ;6
139;1.1.2.1.1.2.4;con;The US has no obligation to help non-US citizens or resolve problems in other countries.;['0', '2', '1', '0', '0']; ;6
140;1.1.2.1.1.3;pro;Gun controls have led to the arrest of drug cartel criminals.;['1', '0', '3', '3', '0']; 7;5
141;1.1.2.1.1.4;con;Prohibitions generally don't harm organized crime. In fact, organized crime has historically profited from them.;['0', '0', '2', '0', '2']; 3;5
142;1.1.2.1.3;pro;Without background checks and gun regulations in place, individuals suffering from severe mental illness can easily acquire deadly weapons.;['0', '1', '1', '0', '0']; 8;4
143;1.1.2.1.3.1;pro;It is estimated that around a third of mass killings are carried out by individuals with untreated serious mental illness.;['1', '0', '2', '0', '0']; ;5
144;1.1.2.1.3.1.1;con;Mass shootings by individuals with mental illness account for less than 1% of gun-related homicides (p. 81).;['0', '0', '2', '1', '0']; ;6
145;1.1.2.1.3.1.2;con;The Epidemiologic Catchment Area (ECA) surveys report that, while mental illness does correlate with an increased risk of some violent behaviors, only a small portion of mentally ill people ever commit violent acts at all.;['0', '0', '2', '1', '0']; ;6
146;1.1.2.1.3.1.3;con;The connection between mental illness and mass shootings is inconclusive and oversimplifies the problem of gun-related mass killings in the US.;['0', '0', '2', '1', '0']; 1;6
147;1.1.2.1.3.2;pro;In 2017, the Trump administation revoked a regulation finalised only 3 months previously that would have potentially added 75,000 higher risk individuals to the background check database.;['0', '0', '0', '0', '0']; ;5
148;1.1.2.1.3.3;con;Access to firearms by mentally unstable people is a red herring that obscures the fundamental problem that most people have unrestricted access to firearms.;['0', '0', '2', '1', '0']; 2;5
149;1.1.2.1.3.3.1;pro;In the US, only 4% of all violence is due to those with a diagnosed mental illness, meaning 96% of violence has nothing to do with mental illness.;['0', '0', '2', '1', '0']; 5;6
150;1.1.2.1.3.3.1.1;con;This source only considers schizophrenia, bipolar and depression. Accordingly, it cannot conclude that mental illness as a whole is not present in the remaining 96% of violent incidents.;['0', '2', '1', '0', '0']; 1;7
151;1.1.2.1.3.3.1.1.1;pro;The same source suggests that anyone who commits mass murder cannot be mentally well.;['0', '0', '1', '0', '0']; ;8
152;1.1.2.1.3.3.1.1.1.1;con;"This source does not state diagnosable disorders nested under ""mentally well."" Another source states that shooters are more likely to have mental health stressors rather than a diagnosed mental illness.";['0', '0', '3', '0', '0']; 2;9
153;1.1.2.1.3.3.1.1.2;con;While mental illness as a whole is not captured by the analysis of three disorders, serious mental illness (SMI) is a term that refers to the severity of the symptoms is adequately represented by schizophrenia, bipolar, and depression.;['0', '0', '2', '1', '0']; ;8
154;1.1.2.1.3.3.1.1.2.1;pro;Serious mental illness (SMI) typically refers to psychotic disorders, bipolar disorder, and major depressive disorders, but can also include extreme cases of anxiety, eating, and personality disorders that functionally impair individuals.;['0', '1', '1', '1', '0']; ;9
155;1.1.2.1.3.3.1.2;con;Given that it is estimated that over half of those with mental health disorders are never diagnosed, it is possible that the available statistics on mental health and gun violence do not accurately represent the population.;['0', '1', '2', '0', '0']; 3;7
156;1.1.2.1.3.3.1.2.1;con;Given that only 4% of all violence is associated with mental illness, it is unlikely that that even doubling the known instances of mental illness would generate a positive correlation between violence and mental illness.;['0', '0', '2', '1', '0']; 3;8
157;1.1.2.1.3.3.2;con;Passing a mental health evaluation indicates a reduced likelihood of harming oneself or others.;['0', '1', '2', '0', '0']; 3;6
158;1.1.2.1.3.3.2.1;pro;Laws which limit firearm access of individuals from high-risk groups reduce violence.;['0', '0', '3', '0', '0']; ;7
159;1.1.2.1.3.4;con;It is already illegal to provide firearms to particular felons and people who have certain histories of mental illness.;['0', '0', '3', '0', '0']; 1;5
