,Level,Stance,Claim,Votes,Comments,Depth
103,1.7.10,con,"""Beliefs"" is hopelessly broad, and in addition to the supernatural beliefs common in religion it rules out all knowledge, as knowledge is often defined as ""justified true belief"". Reasoning without knowledge is ineffective at best and incoherent at worst.","['0', '0', '0', '0', '1']", ,2
104,1.8,pro,"People should abandon organised religion, as the spiritual path is a personal path.","['4', '0', '1', '1', '4']", 4,1
105,1.8.1,pro,Believing in aspects of different religions allows an individual to have a more personal understanding of their place in the cosmos.,"['0', '0', '0', '0', '0']", ,2
106,1.8.1.1,con,"One should not choose beliefs for whether they offer a ""more personal understanding"", but for whether those beliefs are true.","['0', '0', '0', '0', '2']", ,3
107,1.8.1.1.1,pro,A personal understanding may or may not be actually true.,"['0', '0', '0', '0', '0']", 2,4
108,1.8.2,con,"A personal path is still a ""set of beliefs."" A personal philosophy, or ""religion,"" is ultimately unavoidable.","['0', '0', '0', '0', '1']", ,2
109,1.8.3,con,A person's personal spiritual path oftentimes leads them directly into an organized religion.,"['0', '0', '0', '0', '0']", 3,2
110,1.8.4,con,"While a spiritual path truly is a personal path, organized religion helps us know which paths to walk and provide a support group that encourages us to endure.","['0', '0', '0', '0', '0']", ,2
111,1.8.5,con,"To go deep spiritually often requires embracing apparent paradox. An effective spiritual practice is indeed about the growth of the individual, but it is from within a supportive spiritually mature community that true individuals are most likely to emerge.","['0', '0', '0', '0', '0']", ,2
112,1.9,pro,Beliefs should be based on verifiable evidence. A religion is a collection of multiple sets of beliefs which may or may not be true depending on their supporting evidence.,"['2', '1', '0', '2', '2']", ,1
113,1.9.1,con,"Belief is defined as 'the feeling of being certain that something exists or is true,' and thus is based on a feeling rather than necessarily on evidence.","['1', '0', '0', '0', '1']", 6,2
114,1.9.1.1,con,"Human beliefs may well be based more on feelings than on rational assessment of the available evidence, but that is a human failing, not an indication of what beliefs should be based on.","['0', '0', '0', '0', '0']", ,3
115,1.9.2,con,Belief is not based on evidence. Science is.,"['0', '0', '1', '0', '1']", ,2
116,1.9.2.1,con,Kialo discurssion:     Religious faith and science are not mutually exclusive.,"['1', '0', '0', '0', '0']", ,3
117,1.9.3,con,"Religions are interconnected systems of beliefs, not mere ""collections"" or ""sets"". As the beliefs are not independent, one should assess the validity of the central claims of a religion and reject those which are false rather than waste time on every individual point.","['0', '0', '0', '0', '1']", ,2
118,1.9.4,con,This belief is itself not based on verifiable evidence. Some beliefs are by necessity axiomatic.,"['0', '0', '0', '0', '0']", 1,2
119,1.10,pro,"Religion is a right people should be allowed to practice, yet it would be more beneficial to follow no religion, so that we as humans may develop our own moral, and philosophical ideas unencumbered by religious obligations, and convictions.","['1', '0', '0', '0', '3']", 5,1
120,1.11,pro,"It is statistically unlikely that all of the claims of a single religion are true, and far more likely that true claims are scattered across different religions.","['4', '0', '0', '6', '14']", ,1
121,1.11.1,pro,A religion created by humans will have human limitations. So that religion cannot have the truth. It would have a piece of truth.,"['1', '0', '0', '0', '0']", 6,2
122,1.11.1.1,pro,"If someone creates a religion, that person won't have all the knowledge to have the truth for everything. That's a limitation. So that religion hasn't the absolute truth.","['0', '0', '0', '0', '0']", ,3
123,1.11.1.2,pro,Religions are often based on the circumstances in which a community lives in rather than on objective truth.,"['0', '0', '0', '0', '0']", 6,3
124,1.11.1.2.1,pro,The religion of the ancient Romans developed due to the influence of Greek religions.,"['0', '0', '0', '0', '0']", 8,4
125,1.11.1.3,con,"A true religion would be created by God or the gods, not by humans, and with divine assistance a true prophet could presumably communicate the entire truth and overcome mortal limitations.","['0', '0', '0', '0', '1']", ,3
126,1.11.1.4,con,"A religion created by humans without divine intervention or assistance is, at least if it has prophets who claim to know things about the gods, a false religion created by liars or madmen. Any truth it has will be by accident, and that truth will be better found elsewhere.","['0', '0', '0', '0', '1']", ,3
127,1.11.2,pro,"Religions could each be correct on some tenets but not all. Thus possibly there is no ""best"" religion, but only maybe ""best practices"" individually from each religion.","['0', '1', '0', '0', '0']", 12,2
128,1.11.2.1,pro,Many religions are already influenced by others.,"['1', '0', '1', '0', '0']", ,3
129,1.11.2.2,con,Many religions specifically cannot be followed only in part. To follow in part is not to follow it at all.,"['0', '0', '1', '0', '0']", 4,3
130,1.11.2.2.1,con,"If this is true, then only the strictest fundamentalists could be considered true followers of any faith.","['0', '0', '0', '0', '0']", ,4
131,1.11.2.3,con,"If a religion bases its tenets on their god's commands, and their god does not exist, then all of its tenets are false. This limits how many and which religions can even potentially be ""correct on some tenets but not all"".","['0', '0', '0', '0', '1']", ,3
132,1.11.2.3.1,con,"Some tenets could be correct by chance alone, although the tenets of a false religion will not be reliably correct.","['0', '0', '0', '0', '0']", ,4
133,1.11.2.4,con,Many religions explicitly state that other religions are not true. It is contradictory to claim that they can all be true when some cannot coexist with others.,"['0', '0', '0', '1', '1']", ,3
134,1.11.2.4.1,pro,"Universalism is expressly rejected by Jesus himself. John 14:6 (ESV): ""Jesus said to him, 'I am the way, and the truth, and the life. No one comes to the Father except through me.'""","['0', '0', '0', '0', '1']", ,4
135,1.11.2.4.1.1,pro,"If the ultimate goal is to reach the highest exaltation and Jesus says it is only by him, he is saying that taking a different path will not lead you there.","['0', '0', '0', '0', '0']", ,5
136,1.11.2.4.1.2,con,"If understood that Jesus was speaking for God and not for himself, then there is no contradiction.","['0', '0', '0', '0', '0']", ,5
137,1.11.2.4.1.3,con,Jesus would certainly say that some religions are more correct than others as is evidenced by his conversation with the Samaritan woman at the well. (John 4:1-26),"['0', '0', '0', '0', '0']", 3,5
138,1.11.2.4.1.3.1,con,"Something being correct is binary. It does not make sense to say something is ""more correct"" if it is still incorrect.","['0', '0', '0', '0', '0']", ,6
139,1.11.2.4.1.3.1.1,con,In human understanding many things can be more correct.,"['0', '0', '0', '0', '0']", ,7
140,1.11.2.4.1.3.1.1.1,pro,"If someone dies, and I ask you why it happened, and I tell you it was because of brain trauma that might be correct, but if the person was killed because someone hit him on the head, then it would be more correct for me to say that he was murdered.","['0', '0', '0', '0', '0']", ,8
141,1.11.2.4.1.3.1.1.2,pro,"If a man loves his wife and someone asks him how he feels about her, and he says, ""I like her a lot."" That is correct, but it would be more correct for him to say he loves her. Both statements are true, but one expresses what is more correct.","['0', '0', '0', '0', '0']", ,8
142,1.11.2.4.1.3.2,con,This conversation (John 4:1-26) makes no reference to the correctness of other religions.,"['0', '0', '0', '0', '0']", ,6
143,1.11.2.4.1.3.2.1,con,"The conversation with the woman at the well absolutely discusses the correctness of religion. Paraphrasing: The Samaritans worship incorrectly (""They worship what they do not know"") while the Jews worship correctly (""They worship what they do know""), but they are both incorrect because they should be worshipping in spirit and in truth.","['0', '0', '0', '0', '0']", ,7
144,1.11.2.4.1.4,con,A person does not need to know Jesus to follow him. See Romans 2:13-15,"['0', '0', '0', '0', '0']", ,5
145,1.11.2.4.2,con,If the religions weren't true in any point nobody would follow their ideas. All of them have some point that is true.,"['0', '0', '0', '0', '0']", ,4
146,1.11.3,pro,"Mathematically, it isn't possible to predict the location of another point on a scatterplot by knowing only that one spot is correct.","['1', '0', '0', '0', '0']", 1,2
147,1.11.3.1,con,"Religious claims such as ""God exists"" and ""Jesus is the son of God"" are more related to each other than mere points on a scatterplot.","['0', '0', '0', '0', '1']", ,3
148,1.11.4,pro,"Limiting the amount of information available to reach conclusions is not advisable when trying to ascertain truth, certainty or just the ability to make more informed decisions. There is an unbelievably large amount of information about spirituality spread across continents and cultures and throughout history. Evaluating as much information as possible is far better than limiting yourself to one source, usually one in line with where you were born and who you were born to.","['1', '0', '0', '0', '2']", 5,2
149,1.11.4.1,pro,"Assuming spirituality is a reality and not just a part of the human condition, taking in as many spiritual sources in forming your worldview is more valuable than limiting it to a select few.","['0', '0', '0', '0', '0']", 3,3
150,1.11.4.2,con,"Taking in information from many different religions is not inconsistent with making an informed decision on which faith is the One True Faith, or with making an informed judgement that all religions are false and one should be an atheist.","['0', '0', '0', '0', '1']", ,3
151,1.11.5,con,The likelihood of any claim is relative to the evidence for it. If there is evidence for a particular religion being true then this increases the likelihood of any of its claims being true.,"['1', '1', '0', '0', '2']", 6,2
152,1.11.5.1,con,"Truth cannot be known of the supernatural, only assumed; believers tend to use the word 'faith' because of this.","['1', '0', '0', '0', '1']", 5,3
153,1.11.6,con,"This argument assumes what it is trying to prove. I.e. There is no higher intelligence that has revealed to mankind a true religion. If there is a revealed religion among the mix, then tools like statistical likelihood are irrelevant.","['0', '0', '0', '0', '0']", ,2
154,1.11.7,con,"If God did indeed send guidance then the Truth would be universal. There should be a core fundamental belief that runs through them all. Similarly, morals/ethics would be “universal” such that vices and virtues would be clear. Only the etiquettes and laws would change from time to time, place to place, people to people or culture to culture. If it is Truth then it should not change.","['2', '0', '0', '0', '2']", ,2
155,1.11.7.1,con,"The supernatural cannot be known, its truth cannot be verified and there is no reason to believe one way or another whether any information coming from a supernatural source is universal or good or true.","['1', '0', '0', '0', '1']", 10,3
156,1.11.7.1.1,con,Just because something cannot be verified does not mean it is not true.,"['0', '0', '0', '0', '1']", 4,4
157,1.11.7.1.1.1,pro,Unverifiable things can be known. A person can know that someone said something to them in private that the other denies. The person knows what was said even if it isn’t verifiable. There are likely many many other examples.,"['0', '0', '0', '0', '0']", ,5
158,1.11.7.1.1.1.1,con,"The problem is adding supernatural elements. If someone told you they took acid and spoke with God, you wouldn't take them very seriously because their perception of reality was altered. Acknowledging that something can alter your perception of reality makes any conclusions dubious.","['0', '0', '0', '0', '0']", 5,6
159,1.11.7.1.1.2,con,If such a thing as omnipotent supernatural beings can be real then there is no reality where your senses or your opinions or your ideas can ever be known to be true.,"['0', '0', '0', '0', '1']", 6,5
160,1.11.7.1.1.3,con,It does mean that it cannot be shown to be true though which is important for discerning reality and evaluating things like theism or other supernatural concepts. Most theistic propositions are exclusive meaning many theists agree that most supernatural claims are necessarily false.,"['0', '0', '0', '0', '1']", 3,5
161,1.11.8,con,"If no God was revealing His one true faith, then it would be far more likely atheism was true than some scattered mix of religious traditions across the globe.","['1', '0', '0', '2', '1']", ,2
162,1.11.8.1,con,"Supernatural concepts have equal likelihood of being correct as there is no possible way to measure the veracity of any of them. One God or many, speaking truth or lies, with a good intention or not, all of these concepts can only ever be assumed to be true or admitted to be unknowable.","['1', '0', '0', '0', '2']", ,3
163,1.11.8.1.1,con,Hypotheses involving ontologically basic mental entities are no more inherently unmeasurable or unknowable than any other hypotheses.,"['0', '0', '0', '0', '1']", 12,4
