;Level;Stance;Claim;Votes
22;1.0;pro;Motherhood has a greater impact on a woman’s career prospects than her level of education, according to a study by the Young Women’s Trust. Women with a dependent child are six times more likely to be economically inactive than those without children (p. 4).;['1', '0', '1', '1', '2']
23;1.0;con;This is mainly due to patriarchal oppression, not the demands of motherhood. It is possible to employ and educate mothers while giving them ample maternity leave, equal pay, and quality healthcare.;['1', '1', '2', '0', '1']
24;1.0;con;In most Western countries, there are legal measures that allow women to retain their employment status and forbid discrimination based on having children.;['2', '0', '1', '2', '2']
25;1.0;con;Taking maternity leave inherently stalls one's career, even if there is not explicit discrimination.;['0', '0', '1', '0', '0']
26;1.0;con;A woman who gets pregnant, gives birth, and finds someone to adopt the child does not end up with a dependent child. However, having to raise a dependent child is what caused negative career outcomes for the women, not pregnancy by itself.;['0', '0', '1', '0', '0']
27;1.0;con;It is false to suggest that future educational and career goals must be abandoned when one becomes pregnant. With the choice of adoption and the many support programs which exist today, young women or teens can postpone their educational plans but still achieve them.;['0', '1', '2', '0', '1']
28;1.0;con;This is a problem with culture and employment, not childbearing.;['3', '1', '1', '0', '1']
29;1.0;con;Preference for equality in the workforce is not a satisfactory reason for abortion.  Many childless women are treated unequally in the workforce as it is.  We can strive for equality whilst also supporting childbearing.;['1', '1', '2', '1', '1']
30;1.0;con;One of the reasons for unequal treatment of women in the workforce is the assumption that they will get pregnant and leave their job any time. If women are denied the option to terminate unwanted pregnancies, this further fuels such assumptions and encourages discrimination in the workplace.;['0', '0', '1', '0', '1']
31;1.0;pro;The option to have an abortion gives women more autonomy over their careers, as it allows them to plan ahead and discuss maternity leave with their employers before actually needing it.;['1', '0', '2', '0', '1']
32;1.0;con;Giving women the right to have an abortion if they want to does not oppose or contradict support for childbearing. Allowing women a choice does not make anything compulsory.;['1', '1', '1', '0', '1']
33;1.0;con;Governments should provide support to families to ensure that abortion is not the only option and that these financial issues are not significant.;['0', '0', '1', '0', '0']
34;1.0;pro;"Denying women the right to terminate pregnancies at an early stage implies that giving birth to children is the most important thing a woman will ever do; that her ability to give birth trumps any other contribution to society she could possibly make.";['1', '0', '2', '0', '1']
35;1.0;pro;Denying women access to safe, legal abortion in the interests of the embryo values the woman’s actual life less than the potential life of the embryo.;['1', '0', '1', '0', '4']
36;1.0;con;Denial of the right to terminate a pregnancy says nothing about the relative importance of giving birth.;['0', '1', '2', '0', '2']
37;1.0;con;Many women who have made great contributions to society have done so as mothers.;['2', '1', '3', '0', '1']
38;1.0;con;It is possible to provide more education and access to resources and contraception to reduce the number of unwanted pregnancies without relying on abortion.;['0', '0', '1', '0', '0']
39;1.0;con;Even if society is better in some ways if women only have the children they want, this is not enough to justify killing the children. Otherwise, women would be permitted kill toddlers they are currently raising but don't want.;['0', '0', '0', '0', '0']
40;1.0;con;Individuals contribute to society in numerous different ways, and even children that are not wanted or raised well may make valuable contributions that mean society is better off.;['0', '0', '1', '0', '1']
41;1.0;pro;If a woman is not allowed to have an abortion, she is not only forced to continue the pregnancy to birth, but also expected by society to support and look after the resulting child for many years to come.;['3', '3', '5', '5', '11']
42;1.0;pro;In certain religious households where abstinence is an important virtue, women who get pregnant out of wedlock are shunned. This leaves pregnant women with very little financial and emotional support, while forcing them to be the sole provider for the child.;['0', '0', '2', '1', '2']
43;1.0;pro;In a majority of cases, a mother is the primary caregiver of a child and has to invest more time and energy in taking care of the child.;['1', '0', '2', '0', '2']
44;1.0;pro;Many fathers leave their children behind, leaving the mothers to care for them on their own.;['2', '0', '2', '0', '0']
45;1.0;con;Father absence is a cultural problem in its own right, but no reason to preemptively abort.;['1', '1', '1', '1', '2']
46;1.0;con;What is true for the majority may not apply in every case - a father may wish to take on the role of a child's primary caregiver.;['1', '0', '4', '0', '2']
47;1.0;pro;The introduction of paternity leave in some countries has seen a rise in the number of men taking time off work to raise their children (p. 16).;['0', '0', '1', '0', '1']
48;1.0;pro;There are increasing numbers of fathers who wish to be stay at home parents.;['0', '0', '2', '0', '1']
49;1.0;con;Fathers are held financially responsible for their children. It is not only mothers who are forced to take care of the unwanted children.;['0', '0', '3', '0', '2']
50;1.0;pro;Fathers have to help fund and support the child until they are no longer a dependent, usually 18 years, which would add to the emotional burden on the father and the father's family.;['0', '0', '1', '1', '0']
51;1.0;con;Only 50% of single parents have a child support agreement in place with the other parent of their child in the US, which shows that it is difficult to enforce financial responsibility.;['0', '0', '1', '1', '0']
52;1.0;con;Abortion worsens gender inequality.;['10', '5', '2', '1', '5']
53;1.0;pro;In many countries, girls are more likely to be aborted, resulting in a disproportionate male-to-female ratio.;['0', '1', '1', '1', '3']
54;1.0;pro;When women are more likely to be aborted, this normalizes a narrative that women's lives are less important.;['0', '1', '2', '0', '1']
55;1.0;pro;In China, sons are often seen as more desirable. This is particularly the case in rural areas where sons are valued because of their ability to perform manual and agricultural work.;['0', '1', '1', '0', '0']
56;1.0;con;These narratives are being challenged and measures are being taken to prevent sex-selective abortions.;['0', '0', '1', '0', '0']
57;1.0;pro;In India, approximately 10 million girls were aborted between 1991 and 2011, which has led to there being 914 girls to every 1000 boys by 2011.;['1', '1', '2', '0', '1']
58;1.0;pro;A study found that some Indian-born immigrants in Canada are electively aborting female fetuses if they have already had two daughters.;['0', '0', '0', '0', '1']
59;1.0;con;The incidence of this is low, and the practice is likely to go away on its own as immigrants become settled.;['0', '0', '0', '1', '0']
60;1.0;pro;A study found that in Indian families where the firstborn was a girl, the second child was unnaturally likely to be a boy, whereas if the firstborn was a boy, sex ratios among subsequent children were normal.;['0', '2', '2', '0', '3']
61;1.0;pro;The study also found that second boys were not aborted, only second girls.;['0', '0', '1', '0', '0']
62;1.0;con;This says more about gender equality than about the right of abortion. If there is a preferred gender, then that is the issue, not the abortion.;['0', '0', '0', '1', '0']
63;1.0;con;This argument is easily separated from the larger argument by making it illegal to determine the sex of the fetus in these countries as is the case in countries like India already.;['1', '1', '1', '2', '1']
64;1.0;con;This approach undermines the freedom of couples to properly plan for their baby. There are legitimate medical and social reasons to find out the baby's sex ahead of time (e.g. preparing older siblings, intersex children, pure curiosity) that do not involve sex-based abortion. This unfairly limits all couple's options to prevent some couples from discriminatory abortions.;['0', '1', '1', '1', '1']
65;1.0;pro;Considering this topic regards whether the woman has the right to choose to terminate life, and not whether the father has any say, then support of the woman's right alone to choose is not a step for gender equality, but rather increases gender inequality.;['0', '0', '2', '0', '1']
66;1.0;pro;Abortion is an instrument of the patriarchy. It's a way men can use women as objects of sexual pleasure and escape the responsibilities of fatherhood. Sometimes women may decide to get an abortion because of pressure or threats from the father.;['0', '0', '2', '0', '0']
67;1.0;pro;A survey of 1000 women found 74% felt pressured by others while 30% chose abortion because they feared losing their man.;['0', '1', '2', '0', '2']
68;1.0;con;A survey of 1209 abortion patients found that fewer than 1% had abortions primarily because someone else insisted. Thus, in the majority of cases women would have their choice taken away by abortion being illegal, not legal.;['0', '0', '0', '0', '0']
69;1.0;con;Late undesired pregnancy impedes the woman of performing her professional activities for a considerable period of time, thus, making her dependent on her partner, institutions and her family.;['0', '0', '0', '2', '1']
70;1.0;con;Better access to contraception and improved sexual education would reduce the risk of unplanned pregnancies.;['1', '1', '2', '3', '2']
71;1.0;pro;Abortion is a band-aid solution to systemic issues in society. While it may need to remain legal, it does nothing to address the reasons behind unwanted pregnancy.;['2', '1', '1', '0', '2']
72;1.0;con;The issue is that these resources are not properly allocated or presented to the populace. Women should not be made to suffer because of a failure of government.;['0', '1', '0', '1', '2']
73;1.0;pro;In many countries without strong state support for family planning services, doctors might be more inclined towards the lucrative work of performing abortions over the prescription of birth control - as was the case in Romania throughout the 1990s.;['1', '1', '1', '0', '0']
74;1.0;con;"The possibility of doctors being corrupt and state not having strong family planning services support are not variables that should come into play when deciding general legality of abortion. They circumvent the fundamental ""right to abortion"" issue by blaming external factors.";['1', '1', '1', '0', '1']
75;1.0;con;Abortion would not disappear no matter how accessible birth control and adoption becomes.;['0', '0', '2', '0', '2']
76;1.0;pro;Sweden's abortion statistics show that abortions will still happen, even in spite of the fact that many parts of the country provide heavily subsidised birth control for women up to their mid-twenties, free condoms at clinics, and free abortions up to 25-26.;['0', '0', '1', '1', '0']
77;1.0;con;Access to contraception will not help when many religious and cultural circles demand abstinence. Young women may have access to contraception but choose not to carry or use it because they are at a higher risk of being caught and punished for being sexually active.;['1', '0', '2', '0', '3']
78;1.0;con;A lot of those circles also ban abortion, so the justification of abortion by citing these situations is a fallacy. They already stigmatise abortion and demand carrying to full term, so they are an irrelevant factor in the discussion.;['0', '0', '1', '0', '0']
79;1.2;pro;There are many reasons a woman may not be equipped to or want to raise a child. In these cases, it is important that she is able to choose abortion.;['24', '11', '10', '22', '39']
80;1.0;pro;Bringing a child into the world has consequences not only restricted to the moment of birth but for the rest of the mother's life and for all the people around them.;['5', '2', '7', '4', '6']
81;1.0;pro;Many households experience a significant decline in economic well-being in the time around a birth. They face increased demands on resources, changes in the composition of income, and a potentially heightened risk of economic insecurity.;['1', '1', '1', '0', '1']
82;1.0;pro;The drop in parents’ income around childbirth can have major consequences for children as well. Inadequate family income is harmful for children—particularly young children—affecting their long-term social-emotional, cognitive, and academic outcomes (p. 15).;['1', '0', '1', '1', '1']
83;1.0;con;Pregnancy and the growth in household size may trigger an increase in public program eligibility and benefit levels among economically disadvantaged households.;['2', '0', '1', '1', '1']
84;1.0;pro;Many major cash and near-cash safety net programs in USA including the Temporary Assistance for Needy Families (TANF) program, the Supplemental Nutrition Assistance Program (SNAP), the Earned Income Tax Credit (EITC) and the Child Tax Credit (CTC), either restrict eligibility to households with children, or increase benefit levels when a new child is added to the assistance unit.;['1', '1', '1', '0', '1']
85;1.0;pro;The Special Supplemental Nutritional Program for Women, Infants and Children (WIC) is a federal assistance program that provides near-cash nutritional assistance targeted at this time period. It targets low-income pregnant women, breastfeeding women, and children under the age of five.;['1', '1', '1', '0', '1']
86;1.0;con;Even in most of the developed countries, the social assistance that new mothers are entitled to is rarely sufficient on its own, especially if the mother was forced to give up her job to care for the child.;['1', '1', '1', '0', '1']
87;1.0;pro;In the UK, a single parent with two children could expect £292 a month. The person must have no income or low income, work less than 16 hours a week, and have savings of under £16,000.;['0', '0', '2', '0', '0']
88;1.0;pro;In France a single parent with two children would be eligible for as much as €1,068.61 each month, but that benefit would be lessened by any actual income or other cash benefits the person was claiming.;['1', '1', '1', '0', '0']
89;1.0;pro;A single person with one child in Ontario, Canada would receive a benefit of just less than $1,000 Canadian dollars a month, with no lifetime limit.;['0', '0', '2', '0', '0']
90;1.0;pro;The amount an average single parent with two children receives in the US is set by each state, with a 60 month lifetime limit. In Mississippi, they would receive $153 a month. In Alaska, the average benefit was $642 a month.;['1', '1', '1', '0', '0']
91;1.0;pro;Parenthood can have a negative impact on a marriage. The relationship between spouses may suffer once children come along.;['1', '1', '1', '0', '1']
92;1.0;pro;Parenthood hastens marital decline - even among relatively satisfied couples who select themselves into this transition. The rate of the decline in relationship satisfaction is nearly twice as steep for couples who have children than for childless couples.;['1', '1', '1', '0', '0']
93;1.0;pro;In the event that a pregnancy is unplanned, the parents experience even greater negative impacts on their relationship, including increase in relationship conflict and a decrease in love.;['1', '1', '1', '0', '0']
94;1.0;con;Abortion can also have a negative impact on marriage and relationship.;['1', '0', '2', '0', '1']
95;1.0;pro;There is an increased risk for separation or divorce following an abortion (p. 2).;['1', '1', '1', '0', '1']
96;1.0;pro;A study by Rue and colleagues reported that out of 331 Russian and 217 American women, 6.8% of Russian women and 26.7% of American women indicated relationship problems caused by an abortion experience. 7.8% of Russian women and 19.8% of American women indicated that their relationships had ended as a direct consequence of the abortion.;['0', '0', '2', '0', '1']
97;1.0;pro;Associations between abortion and relationship conflict are logical since anger is a common post-abortion emotional response.;['1', '1', '1', '0', '1']
98;1.0;con;If the pregnant individual obtains an abortion, the other party likely either agreed to it, in which case they affirmatively assented to the risk of negative impact, or the relationship was already on rocky foundations such that obtaining the abortion could not have significant causal effect on its health.;['0', '0', '1', '0', '0']
99;1.0;pro;If the pregnant individual did not seek the consent of the other person, they probably have a reason for doing so that suggests the relationship's foundations are not solid.;['0', '0', '1', '0', '0']
100;1.0;pro;6 out of 10 people who get abortions already have children, and many feel they need to dedicate their time and resources to the children they already have, rather than having another.;['1', '0', '2', '0', '1']
101;1.0;pro;A study by University of California shows that existing children of women denied an abortion have 4 percentage point lower scores across all six domains of child development.;['1', '1', '1', '0', '0']
102;1.0;con;Abortion can have a negative effect on living children.;['1', '2', '0', '0', '1']
103;1.0;pro;Post-abortal women report that their ability to respond to the remaining or future child(ren) can be manifested in several ways: a feeling of emotional numbness which leads to a lack of bonding, acting out of hostility and anger which can result in child abuse, and considering future children as “replacement children” who become overindulged (p. 11).;['0', '2', '0', '0', '1']
104;1.0;pro;After abortion, “replacement” children may find themselves the object of obsessive parenting styles of post-abortal parents who focus inordinate time, affection, or material goods on them. Parents may attempt to replace the lost child with a “wanted” child soon after the abortion. This can be detrimental to a child's development and behavior (p. 13).;['0', '1', '1', '0', '1']
105;1.0;con;A child also can have a negative impact on a mothers life, but this doesn't mean that is a legitimate reason to kill the child.;['0', '1', '1', '0', '2']
106;1.0;con;It can not be said that ending the life of a living child, is equivalent to ending the life of an unborn child. The living child and the unborn child have very different sets of capacities (self awareness, ability and conceptualize pain, ability to form social ties etc.).;['1', '0', '2', '0', '1']
107;1.0;pro;Pregnancy and parenthood are very expensive and time consuming. Many women who get abortions are already mothers, and they want to provide the best care they can to their existing children, financially, emotionally, and physically. This should be their choice.;['3', '2', '4', '2', '10']
108;1.0;con;If the fetus is already a child, then it follows from your argument that one should be able to terminate one's offspring to better provide for the rest. This is immoral, and therefore, abortion for the reasons you presented is immoral.;['0', '0', '0', '0', '0']
109;1.0;con;A vasectomy or tubal ligation would be adequate and less harmful in this scenario.;['0', '1', '1', '1', '1']
110;1.0;con;Some hospitals do not perform vasectomies or tubal ligations on religious grounds. (e.g. Many Catholic hospitals in Canada and the United States have not performed these services in the recent past, see links.) Therefore, this point only applies if these services are readily available and not themselves disallowed.;['1', '0', '2', '0', '2']
111;1.0;pro;A woman may not feel emotionally, mentally or otherwise prepared to have a child, and ultimately this could be damaging for the child and for the relationship between the mother and child.;['0', '0', '0', '0', '0']
112;1.0;pro;"A study of children born between 1961-63 compared the adult mental health outcomes of those born to women who requested an abortion and those whose mother did not request an abortion. Significant differences in mental health outcomes were found, all demonstrating worse outcomes for the ""unwanted"" children.";['1', '1', '1', '0', '0']
113;1.0;con;"When abortion is allowed, the resulting children are killed. Death is a much harsher outcome than ""a variety of social and psychological problems.""";['0', '3', '0', '0', '1']
114;1.0;pro;Some women may not have the financial resources to go through a pregnancy and then support a child sufficiently.;['1', '1', '1', '0', '0']
115;1.0;pro;Research by the University of California found that “turnaways,” meaning women denied abortions, were more likely to be in poverty two years later, compared to their peers who got the abortion services they sought.;['1', '0', '0', '3', '1']
116;1.0;pro;Men are equally responsible for pregnancy but are often unwilling to fulfil their paternal role. When this occurs, an unplanned pregnancy can lead to socio-economic hardship for mother and child.;['1', '0', '2', '1', '1']
117;1.0;con;Throughout history most people lived in far poorer conditions, yet managed to raise more children per household than we do today.;['0', '2', '0', '0', '1']
118;1.0;pro;People's economic standing, literacy and health have improved in the last two centuries.;['0', '0', '1', '1', '0']
119;1.0;pro;Individuals have more choice and freedom today, which allows people to improve their conditions more easily than those in the past.;['0', '0', '2', '0', '0']
120;1.0;con;Demographics have changed. Even though birthrate was high at that time, death rate of children was also very high. Therefore a lot of them were not raised, they died before maturity. On the contrary, today, it's no longer necessary to have a lot of children to ensure descendants.;['0', '1', '1', '0', '0']
121;1.0;con;One of the reasons families were bigger in past centuries was because children could provide for the household at a much younger age and without having most of the qualifications that are necessary now. Nowadays having a child implies supporting them until they finish a degree and even that is no guarantee of success. The world simply does not work that way anymore.;['1', '1', '1', '0', '0']
122;1.0;con;Supporting them until they finish a degree is an exaggeration. There are no age restrictions on certain types of jobs in the U.S. At 14, they can work limited hours at any non hazardous job. At 16, unlimited hours at any non-hazardous job. At 18, unlimited at any job. If they choose college, there are grants or loans that can pay their way if the parents can't.;['0', '1', '1', '0', '1']
123;1.0;con;This is an argument for the state providing more support for mothers rather than for allowing abortion.;['1', '0', '3', '0', '2']
124;1.0;pro;The money spent on providing free or reduced cost abortion services can be spent on publicly funded aid for mothers and/or the children that were born as a result of an unwanted pregnancy.;['1', '0', '2', '0', '1']
125;1.0;pro;Many countries do provide child benefits which can help parents with the financial costs of raising a child.;['0', '0', '1', '1', '1']
126;1.0;con;Arguing that the government should provide more support for new parents doesn't resolve the question of what decisions a pregnant person should make (or be allowed to) in the conditions they are currently experiencing. Even if there were more supports for parents that doesn't justify coercing them to gestate to term.;['1', '0', '2', '0', '1']
127;1.0;con;Humans live in societies, not in abstract environments devoid of constraints. Therefore, forgetting this environment would be a mistake: if the state is unable to provide support for mothers (for any reason, let it be economic situation or established laws), abortion would enable better financial survival of mothers.;['1', '0', '2', '0', '0']
128;1.0;pro;"To follow this logic; forgetting that the environment includes a second subject in this debate, as well as the mother, would also be a mistake. If the mother is unable to provide support for the child, adoption would enable better survival of babies.";['0', '0', '1', '0', '0']
129;1.0;pro;Some girls regret having become pregnant as they were too young and too unsettled to have a child at that time.;['0', '0', '0', '0', '0']
130;1.0;pro;95% of women who have had abortions do not regret their decision to terminate their pregnancies.;['1', '0', '2', '0', '2']
131;1.0;con;This 95% statistic is based on one study and biased reporting. Here is an article that shows 40 to 60% have negative reactions and 31% regret it.;['1', '2', '1', '2', '2']
132;1.0;con;Post-abortion syndrome has not been validated as a discrete psychiatric condition and is not recognized.;['1', '0', '2', '0', '0']
133;1.0;con;A damaged, imperfect relationship or child would in most cases be better than no relationship or child.;['1', '1', '1', '0', '1']
134;1.0;con;A damaged, imperfect relationship/child is likely to cause suffering for both the mother and child, whereas having no child would result in potentially less suffering. If a mother wanted to have an abortion then it is likely she is better off without having to raise the child.;['1', '0', '2', '0', '0']
135;1.0;con;Not being prepared to accept the consequences of your decisions and actions is not justification for terminating a human life. Both parents should accept the responsibility they brought upon themselves and prioritize the life they brought into the world. Mental and emotional readiness is something a person wills themselves into, not something that comes out of the blue one day.;['1', '1', '1', '0', '1']
136;1.0;pro;People are put in situations they are not ready to face all the time. They deal with them successfully by learning and adapting rather than running away from them.;['0', '1', '1', '0', '1']
137;1.0;pro;Overcoming challenges is what makes a person stronger.;['1', '1', '0', '0', '1']
138;1.0;con;Some pregnancies are the result of an act of violence like rape.;['1', '0', '1', '0', '1']
139;1.0;pro;In cases of non consensual sex, the person who was forced by someone to have sexual intercourse has no moral obligation to not kill the unborn-person. Every harm caused to the unborn is the responsibility of the person who forced the other to have sexual intercourse.;['1', '2', '2', '1', '1']
140;1.0;con;You cannot transfer responsibility for harm to another person. The person responsible for the abortion is the person going to the clinic.;['0', '2', '0', '0', '4']
141;1.0;pro;Raped women often don't have an option to use birth control.;['2', '1', '1', '1', '1']
142;1.0;con;There are contraceptive methods, such as the morning after pill, which can be used to guard against the possibility of becoming pregnant following cases of rape.;['1', '2', '1', '0', '0']
143;1.0;con;In the rare case of pregnancy due to rape, terminating the life of the unborn child will not correct the horror done to the woman, it will simply pass on the act of force to an innocent party.;['0', '3', '0', '3', '6']
144;1.0;con;Termination of the unborn child's life is not done to mitigate the effects of the crime on one's past, it is to minimize its effects on one's future.;['1', '0', '1', '1', '7']
145;1.0;pro;"This is especially true for young teenagers that were raped by pedophiles; forcing a child into motherhood, on top of dealing with the sexual violence, would be unnecessarily cruel.";['0', '0', '0', '0', '1']
146;1.0;con;Often healthcare professionals are not educated on how to deal with women who have become pregnant on account of rape.;['0', '0', '1', '0', '0']
147;1.0;con;In these instances, it is possible to make exceptions to the law without outright making abortion a legal choice.;['0', '2', '3', '2', '3']
148;1.0;con;Trying to sort out the exceptions from the general rule (especially if this is an exception wherein all other abortion is illegal and not merely, say, 3rd trimester or post-viability abortions) would require extensive, unjustified government invasion into the woman's privacy.;['0', '0', '1', '0', '1']
149;1.0;con;Enforcing laws and drawing lines between what is legal and illegal is often a long process, prone to mistakes. Abortion is a time-delicate matter which cannot be postponed for next hearing.;['0', '0', '1', '1', '4']
150;1.0;con;Many women do not become pregnant by choice. It is wrong to force these women to remain pregnant when they do not want to be.;['1', '0', '1', '0', '1']
151;1.0;pro;Woman face too many difficulties getting their tubes tied to be able to prevent pregnancies.;['0', '1', '1', '1', '0']
152;1.0;pro;Some schools provide such inadequate sex education that some people may not realise sex leads to pregnancy.;['3', '1', '3', '3', '2']
153;1.0;pro;A report found evidence abstinence-only curricula promoting irresponsible, high-risk teenage behavior by keeping teens uneducated with regard to reproductive knowledge instead of giving them the tools to make educated decisions regarding their reproductive health [37].;['1', '1', '1', '0', '2']
154;1.0;con;Then the solution is better education, not abortion. To justify an act simply because it remedies a negative event based on a lack of education is simply lazy.;['1', '0', '1', '0', '0']
155;1.0;pro;It is unreasonable to be satisfied with poor education, but this leaves justification for it though a workaround.;['0', '0', '1', '0', '0']
156;1.0;con;"The reason for abortion doesn't need to be ""justified"" if you do not see it as immoral. Poor education would merely be an explanation, and abortion the remedy.";['0', '0', '1', '0', '1']
157;1.0;con;Women consent to the risk of becoming pregnant whenever they choose to have sex.;['10', '8', '4', '3', '18']
158;1.0;pro;It is possible for women to research contraception and the likelihood of pregnancy before they have sex, such that they are aware of the risks.;['2', '2', '1', '0', '1']
159;1.0;pro;The internet has made such information widely available, even in conservative communities.;['0', '3', '2', '1', '0']
160;1.0;con;This would assume that conservative communities are open to the use of contraception and the bodily autonomy of women which is not the case.;['0', '0', '2', '0', '1']
161;1.0;con;Low-income women often lack sexual education and even if they do have this information, they sometimes lack the resources to buy contraceptives.;['1', '0', '1', '1', '2']
162;1.0;pro;According to WHO, only 43% of women of reproductive age in less developed countries use modern contraceptive methods, and a wide gap in use is seen between the highest and lowest wealth quintiles (52% versus 35%, respectively).;['1', '1', '1', '0', '1']
163;1.0;pro;Contraception is not cheap or widely available in many developing countries around the world, even in some parts of the US and Europe.;['0', '1', '1', '0', '0']
164;1.0;con;A small pack of condoms will cost you around 5€. Less developed countries may find contraception somewhat more expensive, however abortion procedures in those parts of the world are far more dangerous and costly, so prevention and abstinence are still the better options. To increase effectiveness and safety, one should compliment usage of contraception with proper sexual responsibility.;['0', '1', '1', '0', '0']
165;1.0;con;When women use contraception it is clear they are trying to avoid pregnancy and therefore should not be held responsible for the outcome.;['0', '1', '1', '0', '0']
166;1.0;pro;Use of contraception indicates consent to pregnancy has explicitly not been given.;['1', '2', '2', '0', '2']
167;1.0;con;No form of contraception is 100% effective.;['0', '0', '2', '0', '2']
168;1.0;pro;Planned Parenthood states that the pill is only about 91% effective because it is difficult to maintain perfect use.;['0', '1', '1', '0', '1']
169;1.0;con;If the pill is used perfectly, it is 99% effective.;['0', '1', '2', '0', '0']
170;1.0;pro;Even used perfectly, condoms are only effective 98% of the time.;['0', '0', '1', '1', '2']
171;1.0;con;Sterilization procedures (hysterectomy, vasectomies) are almost 100% effective.;['2', '1', '2', '1', '0']
172;1.0;pro;Male vasectomies are both reversible and do not stop your body from producing sperm. It is one of the most highly-effective birth control measures while still maintaining the possibility of having children in the future.;['0', '1', '1', '1', '0']
173;1.0;con;Sterilisation is a near-permanent procedure - it is not a suitable contraceptive option for people who want to have children in the future.;['0', '1', '1', '0', '2']
174;1.0;con;Although it is rare, vasectomy failure is still a possibility. In the first year after vasectomy, 15 to 20 of every 10,000 couples experience a pregnancy.;['0', '0', '2', '0', '1']
175;1.0;con;There is a small risk that female sterilisation will not work - blocked tubes can rejoin any time after the operation.;['0', '1', '1', '0', '1']
176;1.0;pro;On average, one woman in 200 will become pregnant after undergoing a female sterilisation procedure.;['0', '0', '2', '0', '0']
177;1.0;con;Contraceptives advertise that they are not 100% effective. Even though these devices or drugs decrease the likelihood of pregnancy they don't negate the responsibility for the risk of the action chosen.;['0', '0', '1', '1', '0']
178;1.0;con;Abstinence is always effective.;['3', '2', '2', '0', '2']
179;1.0;con;An abstinent woman can still be raped and become pregnant.;['1', '1', '1', '0', '3']
180;1.0;con;It is unreasonable to expect people to remain abstinent forever. There are people who may want to have sex lives but do not ever want to have children. For them there is no fail proof form of contraception.;['0', '1', '0', '1', '2']
181;1.0;pro;"Humans are designed to find pleasure in sexual relations. Sex is more than just for reproduction; it is also a bonding mechanism between life-long partners. Therefore an abstinence only method is an unreasonable burden for a person to bear.";['1', '0', '0', '2', '1']
182;1.0;con;The primary role of sexual relations is reproduction. This is true in all species that reproduce by mating. The pleasure and bonding effect of a sexual relation is subservient to its purpose as a reproduction mechanism.;['1', '1', '1', '1', '2']
